text,length,ind,aspects,polarities
Service is fast and friendly.,1,0,service,positive
I HATE HATE HATE this place.,1,0,anecdotes/miscellaneous,negative
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",1,0,service,negative
"after dining at B.O.G over twenty times now, its official !",1,0,anecdotes/miscellaneous,neutral
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",1,0,service,positive
It is not worth for that bucks.,1,0,price,negative
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",2,0,anecdotes/miscellaneous,positive
"Service here was great, food was fantastic.",2,0,food,positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1,0,ambience,positive
"If you are looking for a good quality, cheap eats - this is the place.",2,0,food,positive
get over it!,1,0,anecdotes/miscellaneous,neutral
It took them 25 minutes to bring our appetizer.,1,0,service,negative
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef  usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt .,1,0,food,positive
"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",1,0,food,negative
"Great bagels, spreads and a good place to hang out in.",2,0,food,positive
I will go back to Suan soon!,1,0,anecdotes/miscellaneous,positive
A great choice at any cost and a great deal.,2,0,anecdotes/miscellaneous,positive
The service was attentive.,1,0,service,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,1,0,food,positive
"The food was just awful, ATROCIOUS actually.",1,0,food,negative
It is by far my favorite restaurant in Brooklyn.,1,0,anecdotes/miscellaneous,positive
I have tried literally every restaurant on curry row.,1,0,anecdotes/miscellaneous,neutral
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",1,0,ambience,positive
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,1,0,anecdotes/miscellaneous,positive
"Very neighborhoody, very quick and sufficient.",1,0,ambience,positive
"The bread is the soft paratha bread  unlike the plain bread they use in Calcutta , and the stuffing is tandoori styled and very flavorful.",1,0,food,positive
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",1,0,food,positive
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,1,0,food,positive
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",1,0,anecdotes/miscellaneous,neutral
"Try ordering from the regular menu, then you would not regret!",1,0,food,positive
I ordered the chu chu curry and my friend ordered the pad thai chicken.,1,0,food,neutral
"Despite the fact that the space is large, they've overcrowded the floor with tables.",1,0,ambience,negative
"Compared to Ess-a, Tal offers a less doughy bagel!",1,0,food,neutral
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",1,0,food,neutral
Go girls!!!,1,0,anecdotes/miscellaneous,positive
Get the feeling they settled into a groove a while ago.,1,0,anecdotes/miscellaneous,neutral
Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,2,0,anecdotes/miscellaneous,neutral
Wonderful at holiday time.,1,0,anecdotes/miscellaneous,positive
this is can became on e of the NY Italian Food fare institutions.,1,0,anecdotes/miscellaneous,neutral
The place was nice and calm.,1,0,ambience,positive
The plain pizza was soggy and the creative wild mushroom third generation-Fornini  pizza we had was drenched with truffle oil in the middle  again making it soggy  and nothingon the rest.,1,0,food,negative
I'm going back.,1,0,anecdotes/miscellaneous,positive
This place would be so much better served by being run by a group that actually understands customer service.,1,0,service,negative
"Also, top the meal with a delicious and perfect slice of tiramisu.",1,0,food,positive
Oh yeah ever on the west side try there sister resturant Arties Cafe.,1,0,anecdotes/miscellaneous,positive
"Also, because it is so thin, it gets cold very quickly and its not that filling.",1,0,food,negative
but I wouldn't wanna live there.,1,0,anecdotes/miscellaneous,neutral
Now it's so crowded and loud you can't even talk to the person next to you.,1,0,ambience,negative
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,1,0,ambience,positive
"by dinner time, they turn it around and mount a huge comeback!!",1,0,anecdotes/miscellaneous,positive
The food was good too.,1,0,food,positive
"We concluded with tiramisu chocolate cake, both were delicious.",1,0,food,positive
I thought I had died and gone to heaven.,1,0,anecdotes/miscellaneous,positive
 and I have eaten my share  Which impresses me for having such a large amount of people to serve.,1,0,service,positive
I also recommend the rice dishes or the different varieties of congee  rice porridge .,1,0,food,positive
I have NEVER been disappointed in the Red Eye.,1,0,anecdotes/miscellaneous,positive
They are amazing!,1,0,anecdotes/miscellaneous,positive
We were pleasantly surprised.,1,0,anecdotes/miscellaneous,positive
"This is my fourth try over a two year period, and I'm done.",1,0,anecdotes/miscellaneous,negative
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,1,0,food,positive
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,1,0,service,negative
My only problem is that you are literally sitting on top of the people next to you!,1,0,ambience,negative
It seems like this is a place the locals like and the people working here liked it too.,1,0,anecdotes/miscellaneous,positive
We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.,2,0,food,neutral
The music is the best among all the Indian restaurants I have visited.,1,0,ambience,positive
The prices were CHEAP compared to the quality of service and food.,3,0,price,positive
Try the Times Square cocktail -- ginger lemonade with vodka  also available without vodka. ,1,0,food,positive
The seats are uncomfortable if you are sitting against the wall on wooden benches.,1,0,ambience,negative
"This time, I prefer not to go into detail.",1,0,anecdotes/miscellaneous,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients  ie cheese in an omelet , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",1,0,food,negative
I have to say I have never had a disapointing meal here.,1,0,food,positive
Terrific menu full of unique rolls and special dishes.,1,0,food,positive
"believe us, we've been eating sushi for over 15 yrs.",1,0,anecdotes/miscellaneous,neutral
Boy was I wrong!,1,0,anecdotes/miscellaneous,neutral
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",1,0,ambience,positive
What a great place!,1,0,anecdotes/miscellaneous,positive
We were very disappointed.,1,0,anecdotes/miscellaneous,negative
