aspects,polarities,text,length,ind
['service'],['positive'],Service is fast and friendly.,1,0
['anecdotes/miscellaneous'],['negative'],I HATE HATE HATE this place.,1,0
['service'],['negative'],"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",1,0
['anecdotes/miscellaneous'],['neutral'],"after dining at B.O.G over twenty times now, its official !",1,0
['service'],['positive'],"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",1,0
['price'],['negative'],It is not worth for that bucks.,1,0
"['anecdotes/miscellaneous', 'food']","['positive', 'positive']","We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",2,0
"['food', 'service']","['positive', 'positive']","Service here was great, food was fantastic.",2,0
['ambience'],['positive'],The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1,0
"['food', 'price']","['positive', 'positive']","If you are looking for a good quality, cheap eats - this is the place.",2,0
['anecdotes/miscellaneous'],['neutral'],get over it!,1,0
['service'],['negative'],It took them 25 minutes to bring our appetizer.,1,0
['food'],['positive'],The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef  usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt .,1,0
['food'],['negative'],"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",1,0
"['food', 'anecdotes/miscellaneous']","['positive', 'positive']","Great bagels, spreads and a good place to hang out in.",2,0
['anecdotes/miscellaneous'],['positive'],I will go back to Suan soon!,1,0
"['anecdotes/miscellaneous', 'price']","['positive', 'positive']",A great choice at any cost and a great deal.,2,0
['service'],['positive'],The service was attentive.,1,0
['food'],['positive'],The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,1,0
['food'],['negative'],"The food was just awful, ATROCIOUS actually.",1,0
['anecdotes/miscellaneous'],['positive'],It is by far my favorite restaurant in Brooklyn.,1,0
['anecdotes/miscellaneous'],['neutral'],I have tried literally every restaurant on curry row.,1,0
['ambience'],['positive'],"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",1,0
['anecdotes/miscellaneous'],['positive'],This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,1,0
['ambience'],['positive'],"Very neighborhoody, very quick and sufficient.",1,0
['food'],['positive'],"The bread is the soft paratha bread  unlike the plain bread they use in Calcutta , and the stuffing is tandoori styled and very flavorful.",1,0
['food'],['positive'],"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",1,0
['food'],['positive'],I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,1,0
['anecdotes/miscellaneous'],['neutral'],"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",1,0
['food'],['positive'],"Try ordering from the regular menu, then you would not regret!",1,0
['food'],['neutral'],I ordered the chu chu curry and my friend ordered the pad thai chicken.,1,0
['ambience'],['negative'],"Despite the fact that the space is large, they've overcrowded the floor with tables.",1,0
['food'],['neutral'],"Compared to Ess-a, Tal offers a less doughy bagel!",1,0
['food'],['neutral'],"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",1,0
['anecdotes/miscellaneous'],['positive'],Go girls!!!,1,0
['anecdotes/miscellaneous'],['neutral'],Get the feeling they settled into a groove a while ago.,1,0
"['anecdotes/miscellaneous', 'food']","['neutral', 'neutral']",Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,2,0
['anecdotes/miscellaneous'],['positive'],Wonderful at holiday time.,1,0
