text,ambience,anecdotes/miscellaneous,food,service,price
Service is fast and friendly.,0,0,0,1,0
I HATE HATE HATE this place.,0,1,0,0,0
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",0,0,0,1,0
"after dining at B.O.G over twenty times now, its official !",0,1,0,0,0
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",0,0,0,1,0
It is not worth for that bucks.,0,0,0,0,1
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",0,1,1,0,0
"Service here was great, food was fantastic.",0,0,1,1,0
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1,0,0,0,0
"If you are looking for a good quality, cheap eats - this is the place.",0,0,1,0,1
get over it!,0,1,0,0,0
It took them 25 minutes to bring our appetizer.,0,0,0,1,0
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef  usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt .,0,0,1,0,0
"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",0,0,1,0,0
"Great bagels, spreads and a good place to hang out in.",0,1,1,0,0
I will go back to Suan soon!,0,1,0,0,0
A great choice at any cost and a great deal.,0,1,0,0,1
The service was attentive.,0,0,0,1,0
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,0,0,1,0,0
"The food was just awful, ATROCIOUS actually.",0,0,1,0,0
It is by far my favorite restaurant in Brooklyn.,0,1,0,0,0
I have tried literally every restaurant on curry row.,0,1,0,0,0
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",1,0,0,0,0
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,0,1,0,0,0
"Very neighborhoody, very quick and sufficient.",1,0,0,0,0
"The bread is the soft paratha bread  unlike the plain bread they use in Calcutta , and the stuffing is tandoori styled and very flavorful.",0,0,1,0,0
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",0,0,1,0,0
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,0,0,1,0,0
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",0,1,0,0,0
"Try ordering from the regular menu, then you would not regret!",0,0,1,0,0
